[CHAT][update] |move|p2a: Porygon2|Conversion|p2a: Porygon2
[CHAT][update] |move|p1a: Ninetales|Fire Blast|p2a: Porygon2
[CHAT][update] |move|p2a: Porygon2|Zap Cannon|p1a: Ninetales|[miss]
[CHAT][update] |move|p1a: Ninetales|Fire Blast|p2a: Porygon2
[CHAT][update] |move|p2a: Porygon2|Thief|p1a: Ninetales
[CHAT][update] |move|p1a: Ninetales|Fire Blast|p2a: Porygon2|[miss]
[CHAT][update] |move|p2a: Porygon2|Zap Cannon|p1a: Ninetales|[miss]
[CHAT][update] |move|p1a: Ninetales|Fire Blast|p2a: Porygon2|[miss]
[CHAT][update] |move|p2a: Porygon2|Zap Cannon|p1a: Ninetales
[CHAT][update] |move|p2a: Porygon2|Thief|p1a: Ninetales
[CHAT][update] |move|p1a: Ninetales|Fire Blast|p2a: Porygon2
[CHAT][update] |move|p2a: Porygon2|Swift|p1a: Ninetales
[CHAT][update] |move|p1a: Ninetales|Roar|p2a: Porygon2
[CHAT][update] |move|p2a: Porygon2|Swift|p1a: Ninetales
[CHAT][update] |move|p1a: Ninetales|Roar|p2a: Porygon2
[CHAT][update] |move|p2a: Porygon2|Swift|p1a: Dugtrio
[CHAT][update] |move|p1a: Dugtrio|Attract|p2a: Porygon2
[CHAT][update] |move|p2a: Porygon2|Thief|p1a: Dugtrio
[CHAT][update] |move|p2a: Porygon2|Swift|p1a: Vulpix
[CHAT][update] |move|p2a: Porygon2|Swift|p1a: Blastoise
[CHAT][update] |move|p1a: Blastoise|Withdraw|p1a: Blastoise
[CHAT][update] |move|p2a: Porygon2|Swift|p1a: Blastoise
[CHAT][update] |move|p2a: Porygon2|Zap Cannon|p1a: Sunkern
[CHAT][update] |move|p2a: Porygon2|Swift|p1a: Vulpix
[CHAT][update] |move|p2a: Porygon2|Zap Cannon|p1a: Dugtrio
[CHAT][update] |move|p1a: Dugtrio|Attract|p2a: Porygon2
[CHAT][update] |move|p2a: Porygon2|Zap Cannon|p1a: Dugtrio
[CHAT][update] |move|p1a: Dugtrio|Attract|p2a: Porygon2
[CHAT][update] |move|p2a: Porygon2|Swift|p1a: Dugtrio
[CHAT][update] |move|p2a: Magmar|Fire Punch|p1a: Slowbro
[CHAT][update] |move|p1a: Slowbro|Surf|p2a: Magmar
[CHAT][update] |move|p2a: Magmar|Fire Punch|p1a: Slowbro
[CHAT][update] |move|p1a: Slowbro|Surf|p2a: Magmar
[CHAT][update] |move|p2a: Porygon2|Zap Cannon|p1a: Raikou
[CHAT][update] |move|p2a: Porygon2|Swift|p1a: Raikou
[CHAT][update] |move|p2a: Porygon2|Swift|p1a: Raikou
[CHAT][update] |move|p1a: Raikou|Spark|p2a: Porygon2
[CHAT][update] |move|p2a: Porygon2|Swift|p1a: Raikou
[CHAT][update] |move|p2a: Porygon2|Swift|p1a: Raikou
[CHAT][update] |move|p1a: Raikou|Spark|p2a: Porygon2
[CHAT][update] |move|p1a: Typhlosion|Flame Wheel|p2a: Porygon2
[CHAT][update] |move|p2a: Porygon2|Swift|p1a: Typhlosion
[CHAT][update] |move|p1a: Typhlosion|Rock Smash|p2a: Porygon2
